Sourcing of Materials/Plant/Equipment For Projects,,,,,,,,,
Categoryÿ,Sourceÿ,,Material detailsÿÿ,Unit,Quantity,Distance travelled,Transport vehicleÿType,"Emission Factor 
(kg CO2e/unit)","Emissions= (Quantity ? Emission Factor)
E= Q x F (kg CO2e per year)"
,Supplier Name,Source location ,,,,Kms.,,,
Concrete: In-situ / Ready mixÿ,,,Strength (MPa)ÿ,m3ÿ,,,,100,0
,,,Primary aggregate sizeÿ,,,,,,
,,,"Type / Mix (e.g. Normal, pumped, special)ÿ",,,,,,
,,,Precast component (if applicable)ÿ,,,,,,
Concrete: Pre-castÿ,,,Precast component,Number of units (By unit type)ÿ,,,,200,0
Cementÿÿÿ,,,,Tonnesÿ,,,,600,0
,,,,,,,,,
Aggregateÿÿ,,,"High-level type (e.g. Aggregate, topsoil, natural sand, riprap, ballast)ÿ",Tonnesÿÿ,,,,10,0
,,,Type detail (e.g. GAP 65)ÿ,,,,,,
Surfacing: Asphalt and Bitumenÿ,,,Mix detailsÿ,Tonnesÿÿ,,,,50,0
Metalsÿ,,,"Type (e.g. Steel, Iron etc)ÿÿ",Tonnesÿÿ,,,,2,0
Plasticsÿ,,,Type (e.g. HDPE pipe)ÿ,Tonnesÿÿ,,,,5,0
Timber,,,"Type (Native Timber. Non-Native)
Size",m3 ,,,,15,0
Transport of General Equipment & Other Materialsÿ,,,Major equipmentÿ,Tonnes or m3ÿ,,,,20,0
Other transported materialsÿÿ,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
Other materials*,,,,,,,,,0
* Insert additional rows above this if required.,,,,,,,,,
,,,,,,,,,Grand Total Emissions (kg CO2e)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,a) The grey shaded cells are to be completed by the Contractor and yellow shaded cells are to be completed by the Project Manager (AC).,,,,,,,,
,b) The contractors are required to complete only the relevant fields applicable to the project. Put N/A for the categories that are not applicable to the project.,,,,,,,,
,"c) For transportation of more than one type of material in a single freight truck, details should be added in the column labeled as Transport Vehicle Type..",,,,,,,,
,"e) Contractors can find emission factors through resources provided by the Ministry for the Environment, EECA, and the GEM protocol, which offer comprehensive guidelines for calculating greenhouse gas emissions specific to various industries, including construction and transportation.",,,,,,,,
,"f) Once completed, the project manager should email this report to pcfsustainability@aucklandcouncil.govt.nz.",,,,,,,,
,g) These emission factors are sourced from the Ministry for the Environment's 2023 guide for New Zealand? (Ministry for the Environment)?? (McHugh & Shaw)?.,,,,,,,,
