DATA POINT NAME,Company Name,Site Name,Arrival Date,Stage,Line Item Name,Material,Sub-Material,Density (kg/m^3),Trade Provider,Trade Provider Address,Purchase Cost NZD,"Order Quantity (m3, lm, m, kg, m2)",Total Volume (m^3),Purchase Weight KG,% Excess,Created by Name,Created by Email,Site Address,Assumptions
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,100 X 50 (90x45) Rad Nst Ut Pg Kd,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,3.09,537.6 LM,24.192,12096 kg,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Assumed material as Timber based on dimensions and common usage; Assumed cross-section 90mm x 45mm
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,53.52,13 SH,0.44928,224.64 kg,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Assumed material as Timber based on product name and common usage; Assumed sheet dimensions 12mm x 2400mm x 1200mm
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Pm Batten Screw CL4 Galv 14G 100MM 500BX,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,116.10,4 PA,Insufficient data,Insufficient data,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Assumed material as Metals based on product type; Insufficient data for volume calculation
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Delfast Nail 90MM Bright 3X Fuel 3000PK,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,116.40,3 EA,Insufficient data,Insufficient data,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Assumed material as Metals based on product type; Insufficient data for volume calculation
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,100 X 50 (90x45) Rad Nst Ut Pg Kd 28 @ 6.000 RANDOM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,3.09,168 LM,7.56,3780 kg,Insufficient data,Daniel W,Insufficient data,Insufficient data,Assumed material as Timber based on dimensions and common usage; Assumed cross-section 90mm x 45mm
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,53.52,24 SH,0.82944,414.72 kg,Insufficient data,Daniel W,Insufficient data,Insufficient data,Assumed material as Timber based on product name and common usage; Assumed sheet dimensions 12mm x 2400mm x 1200mm
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Freo Annealed Tie Wire 300MM 1KG Bundle,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,9.48,20 BD,Insufficient data,Insufficient data,Insufficient data,Daniel W,Insufficient data,Insufficient data,Assumed material as Metals based on product type; Insufficient data for volume calculation
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Freo Rebar D12 6M Deformed 300E 180411/TO,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,11.15,29 EA,0.0197,154.345 kg,Insufficient data,Daniel W,Insufficient data,Insufficient data,Assumed material as Metals based on product type; Assumed diameter 12mm and length 6m
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Freo Rebar HD10 6M Deformed 500E 180411/TO,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,12.15,50 LN,0.02355,184.7775 kg,Insufficient data,Daniel W,Insufficient data,Insufficient data,Assumed material as Metals based on product type; Assumed diameter 10mm and length 6m
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Pack,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data,0.00,2 EA,Insufficient data,Insufficient data,Insufficient data,Daniel W,Insufficient data,Insufficient data,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Other Package,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data,0.00,1 EA,Insufficient data,Insufficient data,Insufficient data,Daniel W,Insufficient data,Insufficient data,Insufficient data
