,Delivery Date,Stage,Trade Provider,Item Name,Material,Sub-Material,Excess %,Density,Cubic m3,Weight / unit,Total Material Weight,Waste Weight,Waste Value,Unit Quantities,Unit Measure,Price / Unit,Purchase Cost Total,DO NOT TOUCH,Landfill,Cleanfill,Recycle,Reuse,Estimated Destination
Formulas,='Ordered Items'!A2,"=ARRAYFORMULA(xlookup(1, ('Site Details'!$B$12:$B$31<=$B3)*('Site Details'!$C$12:$C$31>=$B3),'Site Details'!$A$12:$A$31, ""N/A"", 0, 1))",='Ordered Items'!B2,='Ordered Items'!C2,#N/A,#N/A,='Ordered Items'!G2,"=XLOOKUP($G3, Densities!$B$2:$B$100, Densities!$C$2:$C$100, ""NA"",0, 1)",#N/A,=J3*I3,=K3*O3,=L3*H3,=R3*H3,='Ordered Items'!E2,='Ordered Items'!F2,=R3/O3,='Ordered Items'!D2,"=ARRAYFORMULA(XLOOKUP($F3, 'Waste Providers'!$C$2:$C$29,'Waste Providers'!$D$2:$D$29,"" "", 0,1))","=IF($S3=""Landfill"", ""TRUE"", ""FALSE"")","=IF($S3=""Cleanfill"", ""TRUE"", ""FALSE"")","=IF($S3=""Recycle"", ""TRUE"", ""FALSE"")","=IF($S3=""Reuse"", ""TRUE"", ""FALSE"")","=XLOOKUP($F3,'Waste Providers'!$C$2:$C$29, 'Waste Providers'!$B$2:$B$29,"" "", 0,1)"
,13/10/2024,Foundation,Placemakers,H1.2 - 100x45 - bracing,Timber,Treated,30.00%,420,0.0045,1.89,189,56.7,113.4,100,m,3.78,378,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,14/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,189,56.7,113.4,100,m,3.78,378,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,15/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,283.5,85.05,172.8,150,m,3.84,576,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,16/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,283.5,85.05,172.8,150,m,3.84,576,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,17/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,283.5,85.05,172.8,150,m,3.84,576,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,18/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,283.5,85.05,172.8,150,m,3.84,576,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,19/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,283.5,85.05,172.8,150,m,3.84,576,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,20/10/2024,Foundation,Placemakers,H1.2 - 100x45  - bracing,Timber,Treated,30.00%,420,0.0045,1.89,283.5,85.05,172.8,150,m,3.84,576,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,21/10/2024,Foundation,CSR building,Hebel walls,Concrete or Masonry,Concrete-based,5.00%,2400,0.054,129.6,41472,2073.6,1950,320,sheet,121.875,39000,Reuse,FALSE,FALSE,FALSE,TRUE,"1 Golden Fall Road, Hobsonville, Auckland 0616, New Zealand"
,22/10/2024,Foundation,Placemakers,3600x1200 flooring,Timber,Treated,10.00%,420,0.0864,36.288,2032.128,203.2128,860,56,sheet,153.5714286,8600,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
,23/10/2024,Foundation,Placemakers,2400x1200 flooring,Timber,Treated,10.00%,420,0.0576,24.192,2177.28,217.728,1400,90,sheet,155.5555556,14000,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
