Material,Sub-Material,Density,,Timber,Plastics,Plasterboard,Other Waste,Metals,Hazardous Waste,Glass,Concrete or Masonry,Carpet
Timber,MDF,700,,MDF,Polystyrene,Plasterboard,Linoleum,Non-Ferrous,Insulation,Glass,Tiles,Broadloom Carpet
Plastics,Furniture,,,Furniture,Plastic - Hard,,General Waste,Ferrous,Asbestos,,Fibre Cement (Cladding),Carpet Tiles
Plasterboard,Timber,500,,Timber,Shrink Wrap (Pallets),,Furniture,Steel,Paint,,Concrete-based,Underlay
Other Waste,Treated,420,,Treated,Building Wrap,,Kitchen,"Metals (mixed) e.g. metal joinery, fittings",,,Clay-based,
Metals,Untreated,500,,Untreated,HDPE,,Bathrooms,Copper (pure),,,Ceramic,
Hazardous Waste,Weatherboard,480,,Weatherboard,Polyethene,,Miscellaneous Household Fixtures,Cable (copper),,,Rubble,
Glass,Polystyrene,32,,,LDPE,,Cardboard,Brass,,,Concrete,
Concrete or Masonry,Plastic - Hard,1380,,,Others,,,Aluminium,,,,
Carpet,Shrink Wrap (Pallets),920,,,,,,,,,,
,Building Wrap,930,,,,,,,,,,
,HDPE,950,,,,,,,,,,
,Polyethene,918,,,,,,,,,,
,LDPE,925,,,,,,,,,,
,Others,,,,,,,,,,,
,Plasterboard,800,,,,,,,,,,
,Linoleum,550,,,,,,,,,,
,General Waste,,,,,,,,,,,
,Furniture,,,,,,,,,,,
,Kitchen,,,,,,,,,,,
,Bathrooms,,,,,,,,,,,
,Miscellaneous Household Fixtures,,,,,,,,,,,
,Cardboard,690,,,,,,,,,,
,Non-Ferrous,1750,,,,,,,,,,
,Ferrous,7800,,,,,,,,,,
,Steel,7850,,,,,,,,,,
,"Metals (mixed) e.g. metal joinery, fittings",7700,,,,,,,,,,
,Copper (pure),8960,,,,,,,,,,
,Cable (copper),8960,,,,,,,,,,
,Brass,8730,,,,,,,,,,
,Aluminium,2700,,,,,,,,,,
,Insulation,32,,,,,,,,,,
,Asbestos,2560,,,,,,,,,,
,Paint,1500,,,,,,,,,,
,Glass,2500,,,,,,,,,,
,Broadloom Carpet,90,,,,,,,,,,
,Carpet Tiles,450,,,,,,,,,,
,Underlay,100,,,,,,,,,,
,Tiles,2410,,,,,,,,,,
,Fibre Cement (Cladding),1650,,,,,,,,,,
,Concrete-based,2400,,,,,,,,,,
,Clay-based,1810,,,,,,,,,,
,Ceramic,4000,,,,,,,,,,
,Rubble,1675,,,,,,,,,,
,Concrete,2400,,,,,,,,,,
