DATA POINT NAME,Company Name,Site Name,Arrival Date,Stage,Line Item Name,Material,Sub-Material,Density (kg/m^3),Trade Provider,Trade Provider Address,Purchase Cost NZD,"Order Quantity (m3, lm, m, kg, m2)",Total Volume (m^3),Purchase Weight KG,% Excess,Created by Name,Created by Email,Site Address,Assumptions
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,100 X 50 (90x45) Rad Nst Ut Pg Kd,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,3.09,537.6 LM,24.192,12096 kg,DATA POINT NAME,Company Name,Site Name,Arrival Date,Stage,Line Item Name,Material,Sub-Material,Density (kg/m^3),Trade Provider,Trade Provider Address,Purchase Cost NZD,"Order Quantity (m3, lm, m, kg, m2)",Total Volume (m^3),Purchase Weight KG,% Excess,Created by Name,Created by Email,Site Address,Assumptions
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,100 X 50 (90x45) Rad Nst Ut Pg Kd,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,3.09,537.6 LM,24.192,12096 kg,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Insufficient data
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,53.52,13 SH,0.44928,224.64 kg,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Insufficient data
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Pm Batten Screw CL4 Galv 14G 100MM 500BX,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,116.10,4 PA,Insufficient Data,Insufficient Data,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Insufficient data
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Delfast Nail 90MM Bright 3X Fuel 3000PK,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,116.40,3 EA,Insufficient Data,Insufficient Data,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,100 X 50 (90x45) Rad Nst Ut Pg Kd 28 @ 6.000 RANDOM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,3.09,168 LM,7.56,3780 kg,Insufficient data,Daniel W,Insufficient data,Glover Homes Limited, 39 Ocean View Road, Milford, Auckland,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,53.52,24 SH,0.82944,414.72 kg,Insufficient data,Daniel W,Insufficient data,Glover Homes Limited, 39 Ocean View Road, Milford, Auckland,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Freo Annealed Tie Wire 300MM 1KG Bundle,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,9.48,20 BD,Insufficient Data,Insufficient Data,Insufficient data,Daniel W,Insufficient data,Glover Homes Limited, 39 Ocean View Road, Milford, Auckland,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Freo Rebar D12 6M Deformed 300E 180411/TO,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,11.15,29 EA,0.01973,154.86 kg,Insufficient data,Daniel W,Insufficient data,Glover Homes Limited, 39 Ocean View Road, Milford, Auckland,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Freo Rebar HD10 6M Deformed 500E 180411/TO,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,12.15,50 LN,0.02356,184.96 kg,Insufficient data,Daniel W,Insufficient data,Glover Homes Limited, 39 Ocean View Road, Milford, Auckland,Insufficient data
5828415,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Pack,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data,0.00,2 EA,Insufficient Data,Insufficient Data,Insufficient dataDATA POINT NAME,Company Name,Site Name,Arrival Date,Stage,Line Item Name,Material,Sub-Material,Density (kg/m^3),Trade Provider,Trade Provider Address,Purchase Cost NZD,"Order Quantity (m3, lm, m, kg, m2)",Total Volume (m^3),Purchase Weight KG,% Excess,Created by Name,Created by Email,Site Address,Assumptions
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,100 X 50 (90x45) Rad Nst Ut Pg Kd,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,3.09,537.6 LM,24.192,12096 kg,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Assumed dimensions 90 mm x 45 mm for timber cross-section
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Chh Ecoply Rad F8/F8 Ut DD 12x2400x1200MM,Timber,Untreated,500 kg/m^3,Insufficient data,Insufficient data,53.52,13 SH,0.44928,224.64 kg,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Assumed 12 mm thickness for plywood sheets
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Pm Batten Screw CL4 Galv 14G 100MM 500BX,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,116.10,4 PA,Insufficient Data,Insufficient Data,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Insufficient data
5828073,Glover Homes Limited,Insufficient data,15/01/2025,Insufficient data,Delfast Nail 90MM Bright 3X Fuel 3000PK,Metals,Steel,7850 kg/m^3,Insufficient data,Insufficient data,116.40,3 EA,Insufficient Data,Insufficient Data,Insufficient data,System Gen (DO NOT TOUCH),Insufficient data,Insufficient data,Insufficient data
