,,,,,,,,
,PURCHASE SCHEDULE (grouped by supplier),,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Project No:,,,1082,,,
,,Project Name:,,,Morgan S2 Block 6 - Lots 14-21,,,
,,Project Manager:,,,Elliott Brinsden,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Ord#,,Date,Code,,Description of Goods,Qty,Rcd
,Chesters Plumbing and Bathroom Centre Limited,,,,,,,
,13592,,29/11/24,5216,,Elementi Uno Etch Basin Mixer Brushed Nickel,3.00,N
,13592,,29/11/24,5216,,"Elementi Bath Waste Top Fix Matt White, 40mm",1.00,N
,,,,,,,,
,GFC Ltd,,,,,,,
,13519,,26/11/24,4910,,Lumberlok MG Multigrip 38x38x125mm,233.00,Y
,13519,,26/11/24,4910,,Nail Fibre Cement Flathead SS316 40x2.8mm 1kg,6.00,Y
,Hi Qual Doors & Stairs 2009 Ltd,,,,,,,
,13465,,14/11/24,5015,,"1980H x 810W x 38mm Thick - Single (L/H) * B2, B3 *",2.00,N,,,,,,,,
,PlaceMakers Auckland Central-North Hub COOK ST,,,,,,,
,13832,,16/01/25,4930,,88x88 RAD LAM PS 88x88 RAD LAM PST H5 PL8 VSL 2.4,1.00,N
,13832,,16/01/25,4930,,100 X 50MM DRESSED FOUR SIDES RADIATA CLEARS UNTREATED KD [Screen Timber S5/A811 -2.4m],23.00,N
