Ord#,,Date,Code,,Description of Goods,Qty,Rcd,
Affordable Scaffolding (2010),,,,,,,,
13469,,14/11/24,4101,,Flush Elite Toilet (PO est 40 wks),34.57,N,
13469,,14/11/24,4101,,Flush Elite Toilet 18/11-30/11 (FL732),1.86,Y,
13469,,14/11/24,4101,,Flush Elite Toilet 01/12-20/12 (FL732),2.86,Y,
13469,,14/11/24,4101,,Flush Elite Toilet 13/01/25-31/01/25 (FL732),2.71,Y,
,,,,,,,,
Auckland Council,,,,,,,,
12717,,13/08/24,3300,,BCO10386026 - BC deposit,1.00,Y,
13348,,01/11/24,3300,,BCO10386026 - BC,1.00,Y,
13349,,01/11/24,3300,,BCO10386153 - Lot 21 BC,1.00,Y,
13350,,01/11/24,3300,,BCO10386154 - Lot 22 BC,1.00,Y,
13351,,01/11/24,3300,,BCO10386155 - Lot 23 BC,1.00,Y,
13352,,01/11/24,3300,,BCO10386157 - Lot 24 BC,1.00,Y,
,,,,,,,,
Battenman Auckland Ltd,,,,,,,,
13711,,16/12/24,5315,,Lot 20 - batten,1.00,N,
13711,,16/12/24,5315,,"Lots 21, 22 & 23 - metal battens",3.00,N,
13711,,16/12/24,5315,,Lot 24- metal battens,1.00,N,
,,,,,,,,
Brown Brothers Earthmoving Ltd,,,,,,,,
13784,,13/01/25,4300,,Gap 20 delivered to site,5.00,Y,
13784,,13/01/25,4300,,freight - small load,1.00,Y,
,,,,,,,,
C&H Consulting Limited,,,,,,,,
12159,,31/05/24,3240,,Roof and Midfllor Framing Design / Post Fire Design / Bracing Design / Foundation Design / Foundation and Windwall Framing Details,1.00,Y,
12358,,27/06/24,3240,,Structural Steelwork Details Lots 24 Bracing Markups Roof Beam Design Wingwall Queries,1.00,Y,
12631,,01/08/24,3240,,Various Correspondence and Design Markups Review and Markup of BC Plans Collate Building Consent Documentation,1.00,Y,
13572,,28/11/24,3240,,Shop Drawing Review and Markups - with respect to Structural Engineering Construction Review,1.25,Y,
13749,,20/12/24,3240,,Strip Footing Reinforcing Inspection 4-12-24 & travel,1.00,Y,
13915,,31/01/25,3240,,Slab Inspection 30/01,1.00,Y,
12159,,31/05/24,3225,,Fire Safety Repost and Markups,1.00,Y,
,,,,,,,,
Carters Building Supplies Limited,,,,,,,,
12051,,16/05/24,3120,,GF-1409935-C1 Consent,5.00,Y,
13051,,20/09/24,3120,,CONSENT FOR GF-1409935-C2 83 TAHINGAMANU RD,1.00,Y,
13474,,15/11/24,4910,,"Prenail - Lot 20 (PO est $19,758.93)",1.00,N,
13474,,15/11/24,4910,,Level 1 - Hiandri - Lot 20,1.00,N,
13474,,15/11/24,4910,,Level 2 - Hiandri - Lot 20,1.00,N,
13474,,15/11/24,4910,,RANDOM SUPPLY OTHER LEVEL 1 - Lot 20 - 140 X 45 RADIATA SG8 STRESS GRADED H1.2 KD 3.6M Qty 1,1.00,Y,
13474,,15/11/24,4910,,RANDOM SUPPLY OTHER LEVEL 2 - Lot 20- 90 X 45 RADIATA SG8 STRESS GRADED H1.2 KD 6.0M,9.00,N,
13474,,15/11/24,4910,,"Prenail - Lot 21 (PO est $17,072.78)",1.00,N,
13474,,15/11/24,4910,,Level 1 - Hiandri - Lot 21,1.00,Y,
13474,,15/11/24,4910,,Level 2 - Hiandri - Lot 21,1.00,Y,
